City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
5,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
6,Ovalle,CL,75.79,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
9,Mogadishu,SO,81.43,broken clouds,2.0371,45.3438,Hotel Juba
10,Rikitea,PF,79.3,few clouds,-23.1203,-134.9692,People ThankYou
11,Elk City,US,89.82,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
13,Buala,SB,81.52,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
15,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
17,Samarai,PG,82.96,few clouds,-10.6167,150.6667,Nuli Sapi
24,Male,MV,83.73,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
25,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
31,Diffa,NE,88.32,broken clouds,13.3154,12.6113,ProDAF/Diffa
38,Kimbe,PG,76.39,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
41,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
44,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Limpapa,PH,76.1,overcast clouds,7.1197,121.9106,The Ranch ZC
51,Inirida,CO,83.64,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
52,Hilo,US,78.12,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
62,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
65,Black River,JM,80.46,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
66,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
71,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
78,Le Vauclin,MQ,82.45,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
80,Harper,LR,82.0,overcast clouds,4.375,-7.7169,Screensaver
85,Itapirapua,BR,81.9,few clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
86,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
87,Bagli,IN,84.33,clear sky,22.65,76.35,Yash carpenter
89,Kandrian,PG,77.05,overcast clouds,-6.2167,149.55,Kandrian Station
91,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
102,Sur,OM,88.32,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
110,Dovers,VC,80.19,scattered clouds,12.8833,-61.1833,Ocean Breeze
117,Pemba,MZ,79.12,clear sky,-12.974,40.5178,Guesthouse Samotina
120,Pedernales,DO,83.07,overcast clouds,18.0384,-71.744,Hotel Costa Marina
121,Paraguacu Paulista,BR,77.63,overcast clouds,-22.4128,-50.5758,Hotel Água das Araras
123,Takoradi,GH,81.16,light rain,4.8845,-1.7554,Raybow International Hotel
127,Hambantota,LK,78.03,overcast clouds,6.1241,81.1185,Bungalow 63
129,Pizarro,CO,81.81,overcast clouds,4.9533,-77.366,Hotel Limonar
130,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
131,Banjar,ID,75.96,broken clouds,-8.19,114.9675,The Hamsa Resort
135,Ler,SS,88.39,scattered clouds,8.3018,30.1418,Leer Humanitarian Hub
139,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
143,Atuona,PF,79.32,few clouds,-9.8,-139.0333,Villa Enata
145,Hithadhoo,MV,82.92,broken clouds,-0.6,73.0833,Scoop Guest House
148,Urucara,BR,79.5,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
155,Pecos,US,88.63,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos
157,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
158,Barreiras,BR,82.29,scattered clouds,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
160,Labuhan,ID,76.51,overcast clouds,-6.8844,112.2051,DoubleFAG
164,Butaritari,KI,80.42,moderate rain,3.0707,172.7902,Isles Sunset Lodge
166,Jaque,PA,79.83,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
177,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
178,Tabas,IR,75.42,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
184,Altamira,BR,86.09,few clouds,-3.2033,-52.2064,Requinte Hotel
186,Sola,VU,82.56,broken clouds,-13.8833,167.55,Leumerus Bungalows
187,Niquero,CU,81.9,broken clouds,20.0431,-77.5828,Islazul Niquero
188,Belem De Sao Francisco,BR,84.31,broken clouds,-8.7539,-38.9658,Village Hotel
189,Aswan,EG,85.73,clear sky,24.0934,32.907,Nuba Nile
190,Kavieng,PG,80.69,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
191,Biak,ID,76.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
194,Saint-Pierre,RE,77.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
195,San Luis,AR,80.2,clear sky,-33.295,-66.3356,Huarpes Hotel
196,Bubaque,GW,76.6,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
199,Atar,MR,80.31,clear sky,20.5169,-13.0499,Oumou Elghoura
201,Carutapera,BR,75.2,overcast clouds,-1.195,-46.02,Lidera
203,Karratha,AU,80.4,clear sky,-20.7377,116.8463,ibis Styles Karratha
204,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
207,Cabedelo,BR,81.27,broken clouds,-6.9811,-34.8339,Hotel Pigalle
210,Lalgudi,IN,79.12,mist,10.8667,78.8333,Stephan aakash
212,Vao,NC,77.43,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
213,Honiara,SB,80.76,broken clouds,-9.4333,159.95,Heritage Park Hotel
220,Santa Rosa,PH,78.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
224,Mackay,AU,76.68,broken clouds,-21.15,149.2,International Lodge Motel
233,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
236,Barsi,IN,86.36,overcast clouds,18.2333,75.7,B.K.T. COMMUNICATION AND FASHION
239,Jiwani,PK,81.39,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
240,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
241,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
242,Sibolga,ID,76.26,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
250,Makrana,IN,80.44,clear sky,27.05,74.7167,Ganpati Guest House
251,Saint-Joseph,RE,76.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
252,Acarau,BR,79.16,overcast clouds,-2.8856,-40.12,castelo pizzaria
253,Cockburn Town,TC,82.36,few clouds,21.4612,-71.1419,Osprey Beach Hotel
254,Salgueiro,BR,85.98,broken clouds,-8.0742,-39.1192,Hotel Requinte
255,Cabo San Lucas,MX,85.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
257,Tual,ID,83.75,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
261,Bengkulu,ID,76.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
268,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
270,San Patricio,US,88.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
271,Port Blair,IN,80.83,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
272,Nisia Floresta,BR,83.21,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
273,Kalmunai,LK,77.85,overcast clouds,7.4167,81.8167,VS Villa
280,Tarakan,ID,76.5,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
284,Garcia Hernandez,PH,75.92,heavy intensity rain,9.6144,124.2946,President Manuel Roxas Park and Campsite
287,Pathein,MM,77.49,clear sky,16.7833,94.7333,Pathein Hotel
289,Faanui,PF,82.6,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
291,Cozumel,MX,80.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
293,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
296,Sawakin,SD,80.49,clear sky,19.1059,37.3321,فندق الدويم
299,Boke,GN,77.02,clear sky,10.9409,-14.2967,Hôtel Rio Nunez - Boké
301,Santa Rosalia,MX,79.14,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
304,San Jose,US,79.88,clear sky,37.3394,-121.895,The Westin San Jose
306,Bandundu,CD,75.15,light rain,-3.3167,17.3667,Coja Color
307,Meulaboh,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
309,Amloh,IN,78.75,clear sky,30.6084,76.2319,Saanjh kander amloh
314,Trinidad,BO,89.58,broken clouds,-14.8333,-64.9,Hotel Piesta
315,Celestun,MX,79.52,broken clouds,20.8667,-90.4,Posada Lilia
