City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,56.75,67,31,37.13,scattered clouds
1,Hobart,AU,-42.8794,147.3294,61.27,88,75,3.44,broken clouds
2,Utena,LT,55.5,25.6,33.71,79,5,7.65,clear sky
3,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,94,0,9.22,clear sky
4,Sitka,US,57.0531,-135.33,42.69,65,40,8.05,scattered clouds
5,Makakilo City,US,21.3469,-158.0858,80.92,55,100,17.27,overcast clouds
6,Ovalle,CL,-30.5983,-71.2003,75.79,37,0,6.51,clear sky
7,Neepawa,CA,50.2289,-99.4664,49.3,51,95,12.1,overcast clouds
8,Estancia Velha,BR,-29.6483,-51.1739,73.9,84,63,3.49,broken clouds
9,Mogadishu,SO,2.0371,45.3438,81.43,75,72,14.45,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,79.3,72,12,18.07,few clouds
11,Elk City,US,35.412,-99.4043,89.82,5,0,31.07,clear sky
12,Koslan,RU,63.4564,48.8989,38.86,97,100,8.99,overcast clouds
13,Buala,SB,-8.145,159.5921,81.52,75,87,3.8,overcast clouds
14,Cape Town,ZA,-33.9258,18.4232,64.27,70,0,11.01,clear sky
15,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,18.41,broken clouds
16,Codrington,AU,-38.2667,141.9667,61.81,81,87,12.1,overcast clouds
17,Samarai,PG,-10.6167,150.6667,82.96,79,18,18.9,few clouds
18,Port Hardy,CA,50.6996,-127.4199,39.38,81,100,10.36,light intensity shower rain
19,Knysna,ZA,-34.0363,23.0471,59.49,86,0,7.94,clear sky
20,Mar Del Plata,AR,-38.0023,-57.5575,68.09,95,100,18.01,overcast clouds
21,Thompson,CA,55.7435,-97.8558,37.56,56,100,13.8,overcast clouds
22,Albany,US,42.6001,-73.9662,50.76,67,97,1.99,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,53.28,74,34,10.02,scattered clouds
24,Male,MV,4.1748,73.5089,83.73,73,100,12.44,overcast clouds
25,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,85,87,10.78,overcast clouds
26,Mvuma,ZW,-19.2792,30.5283,58.64,94,100,8.12,overcast clouds
27,Bredasdorp,ZA,-34.5322,20.0403,62.1,86,37,18.23,scattered clouds
28,Nizhniy Tsasuchey,RU,50.5167,115.1333,33.48,98,100,11.92,snow
29,Zeya,RU,53.75,127.2667,23.61,85,100,4.36,overcast clouds
30,College,US,64.8569,-147.8028,16.0,45,20,4.61,few clouds
31,Diffa,NE,13.3154,12.6113,88.32,7,60,3.33,broken clouds
32,Mataura,NZ,-46.1927,168.8643,48.33,82,52,2.53,broken clouds
33,New Norfolk,AU,-42.7826,147.0587,60.93,77,84,3.09,broken clouds
34,Cidreira,BR,-30.1811,-50.2056,69.96,88,82,6.98,broken clouds
35,Bulawayo,ZW,-20.15,28.5833,57.88,92,100,14.94,overcast clouds
36,Punta Arenas,CL,-53.15,-70.9167,53.11,66,75,12.66,broken clouds
37,Huanren,CN,41.2647,125.3667,48.11,90,72,6.87,broken clouds
38,Kimbe,PG,-5.5502,150.1429,76.39,93,97,3.09,overcast clouds
39,Hamilton,US,39.1834,-84.5333,42.24,65,100,14.97,overcast clouds
40,Grindavik,IS,63.8424,-22.4338,37.87,87,75,21.85,broken clouds
41,Kloulklubed,PW,7.0419,134.2556,77.5,82,100,18.95,overcast clouds
42,Beisfjord,NO,68.3751,17.5988,35.65,94,100,2.44,overcast clouds
43,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,100,9.22,overcast clouds
44,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,41,11.16,light rain
45,Luderitz,NA,-26.6481,15.1594,63.39,69,0,6.62,clear sky
46,Khatanga,RU,71.9667,102.5,-6.38,100,91,3.76,overcast clouds
47,Katsuura,JP,35.1333,140.3,59.9,84,0,8.39,clear sky
48,Limpapa,PH,7.1197,121.9106,76.1,84,99,5.84,overcast clouds
49,Dikson,RU,73.5069,80.5464,4.62,98,98,2.46,overcast clouds
50,Xining,CN,36.6167,101.7667,47.97,18,45,3.83,scattered clouds
51,Inirida,CO,3.8653,-67.9239,83.64,79,94,2.28,overcast clouds
52,Hilo,US,19.7297,-155.09,78.12,85,100,5.99,overcast clouds
53,Omboue,GA,-1.5746,9.2618,74.08,89,100,2.59,overcast clouds
54,Ushuaia,AR,-54.8,-68.3,49.66,62,20,0.0,few clouds
55,Busselton,AU,-33.65,115.3333,60.19,66,74,11.16,broken clouds
56,Sioux Lookout,CA,50.1001,-91.917,42.87,22,75,2.3,broken clouds
57,Sovetskiy,RU,61.3614,63.5842,31.8,96,100,7.11,overcast clouds
58,Ponta Do Sol,PT,32.6667,-17.1,62.01,73,1,3.78,clear sky
59,Mount Pleasant,US,32.7941,-79.8626,53.6,51,100,13.8,overcast clouds
60,Chuy,UY,-33.6971,-53.4616,70.11,74,34,10.56,scattered clouds
61,Kruisfontein,ZA,-34.0033,24.7314,62.89,90,86,11.32,light rain
62,Quelimane,MZ,-17.8786,36.8883,76.95,94,40,0.0,scattered clouds
63,Nakamura,JP,32.9833,132.9333,53.31,89,3,2.51,clear sky
64,Provideniya,RU,64.3833,-173.3,33.21,97,100,16.24,light snow
65,Black River,JM,18.0264,-77.8487,80.46,71,92,2.01,overcast clouds
66,Puerto Ayora,EC,-0.7393,-90.3518,84.16,72,92,7.25,light rain
67,Makubetsu,JP,45.3714,141.8211,37.02,89,17,6.62,few clouds
68,Benicarlo,ES,40.4165,0.4271,60.57,74,13,5.66,few clouds
69,Cayenne,GF,4.9333,-52.3333,82.44,1,40,12.66,scattered clouds
70,Disna,BY,55.568,28.1971,37.44,75,100,7.29,overcast clouds
71,Vaini,TO,-21.2,-175.2,80.76,83,40,5.75,scattered clouds
72,Okhotsk,RU,59.3833,143.3,17.8,97,79,2.28,broken clouds
73,Malibu,US,34.005,-118.8101,93.24,60,5,3.0,clear sky
74,Hermanus,ZA,-34.4187,19.2345,61.81,82,5,20.18,clear sky
75,Moose Factory,CA,51.2585,-80.6094,30.2,80,100,9.22,overcast clouds
76,Zyryanka,RU,65.75,150.85,-15.97,97,97,7.83,overcast clouds
77,Deputatskiy,RU,69.3,139.9,-18.69,100,93,0.92,overcast clouds
78,Le Vauclin,MQ,14.5452,-60.8388,82.45,65,20,19.57,few clouds
79,Hami,CN,42.8,93.45,59.16,13,98,13.73,overcast clouds
80,Harper,LR,4.375,-7.7169,82.0,83,99,9.91,overcast clouds
81,Antofagasta,CL,-23.65,-70.4,63.68,73,12,9.8,few clouds
82,San Jose De Guanipa,VE,8.8872,-64.1651,95.59,26,44,10.29,scattered clouds
83,Ancud,CL,-41.8697,-73.8203,51.22,80,100,8.61,light rain
84,Nurota,UZ,40.5614,65.6886,68.63,31,100,3.62,overcast clouds
85,Itapirapua,BR,-15.8233,-50.6133,81.9,69,18,2.93,few clouds
86,Avarua,CK,-21.2078,-159.775,84.25,79,40,6.91,scattered clouds
87,Bagli,IN,22.65,76.35,84.33,17,1,9.13,clear sky
88,Lubango,AO,-14.9172,13.4925,62.62,77,21,2.91,few clouds
89,Kandrian,PG,-6.2167,149.55,77.05,87,87,3.62,overcast clouds
90,Nampula,MZ,-15.1165,39.2666,73.35,94,40,5.75,scattered clouds
91,Mahebourg,MU,-20.4081,57.7,77.29,88,40,8.05,scattered clouds
92,Bagotville,AU,-28.9833,153.4167,65.64,99,73,5.19,broken clouds
93,Uyuni,BO,-20.4597,-66.825,60.13,17,77,15.23,broken clouds
94,Georgetown,MY,5.4112,100.3354,78.73,89,20,0.0,few clouds
95,Palmer,US,42.1584,-72.3287,52.25,74,75,11.5,broken clouds
96,Liverpool,GB,53.4106,-2.9779,42.82,73,0,8.05,clear sky
97,Yellowknife,CA,62.456,-114.3525,29.41,66,75,23.02,broken clouds
98,Dingle,PH,10.9995,122.6711,74.95,90,100,1.14,moderate rain
99,Twin Falls,US,42.3505,-114.6445,46.29,29,0,24.16,clear sky
100,La Ronge,CA,55.1001,-105.2842,44.85,49,100,9.22,overcast clouds
101,Jamestown,US,42.097,-79.2353,40.59,46,100,13.8,overcast clouds
102,Sur,OM,22.5667,59.5289,88.32,36,100,9.26,overcast clouds
103,Fairbanks,US,64.8378,-147.7164,16.02,44,0,4.61,clear sky
104,Puerto Carreno,CO,6.189,-67.4859,96.78,38,20,5.75,few clouds
105,Rawson,AR,-43.3002,-65.1023,61.02,86,100,18.12,light rain
106,Hovd,MN,48.0056,91.6419,29.44,52,36,11.48,scattered clouds
107,Srednekolymsk,RU,67.45,153.6833,-5.78,96,100,5.84,light snow
108,Erzin,TR,36.9559,36.2,57.97,89,43,0.29,scattered clouds
109,Norden,DE,53.6,7.2,40.96,81,22,20.67,few clouds
110,Dovers,VC,12.8833,-61.1833,80.19,76,31,18.68,scattered clouds
111,Goderich,CA,43.7501,-81.7165,34.12,80,100,5.75,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,50.25,78,92,3.74,overcast clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,27.63,light snow
114,Port Alfred,ZA,-33.5906,26.891,62.19,95,100,3.0,overcast clouds
115,Henties Bay,NA,-22.116,14.2845,61.21,79,0,7.83,clear sky
116,Lexington,US,37.9887,-84.4777,46.42,56,75,14.97,broken clouds
117,Pemba,MZ,-12.974,40.5178,79.12,78,3,11.03,clear sky
118,Leningradskiy,RU,69.3833,178.4167,-12.06,87,34,3.78,scattered clouds
119,Saskylakh,RU,71.9167,114.0833,-17.88,99,27,1.45,scattered clouds
120,Pedernales,DO,18.0384,-71.744,83.07,63,100,5.08,overcast clouds
121,Paraguacu Paulista,BR,-22.4128,-50.5758,77.63,77,95,5.35,overcast clouds
122,Pisco,PE,-13.7,-76.2167,71.02,83,0,8.05,clear sky
123,Takoradi,GH,4.8845,-1.7554,81.16,84,87,2.15,light rain
124,Margate,GB,51.3813,1.3862,46.31,67,91,1.99,overcast clouds
125,Charcas,MX,23.1333,-101.1167,74.7,26,37,10.63,scattered clouds
126,Yinchuan,CN,38.4681,106.2731,64.36,10,100,3.53,overcast clouds
127,Hambantota,LK,6.1241,81.1185,78.03,83,91,9.84,overcast clouds
128,Leshukonskoye,RU,64.8989,45.7622,35.62,97,95,3.53,overcast clouds
129,Pizarro,CO,4.9533,-77.366,81.81,77,96,7.61,overcast clouds
130,Kapaa,US,22.0752,-159.319,80.58,72,40,10.36,scattered clouds
131,Banjar,ID,-8.19,114.9675,75.96,89,65,3.51,broken clouds
132,East London,ZA,-33.0153,27.9116,65.16,88,100,14.63,light rain
133,Iqaluit,CA,63.7506,-68.5145,22.73,85,100,17.27,light snow
134,Haicheng,CN,40.8516,122.7475,50.81,78,68,13.89,broken clouds
135,Ler,SS,8.3018,30.1418,88.39,32,31,5.35,scattered clouds
136,Ziro,IN,27.6333,93.8333,49.19,94,99,1.68,moderate rain
137,Hasaki,JP,35.7333,140.8333,50.4,82,0,7.54,clear sky
138,Sao Filipe,CV,14.8961,-24.4956,74.48,70,54,12.12,broken clouds
139,Grand Gaube,MU,-20.0064,57.6608,77.4,85,23,16.42,few clouds
140,Zabaykalsk,RU,49.6333,117.3167,35.4,85,39,11.12,scattered clouds
