City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2022-04-03 01:12:26,63.4427,-20.2734,45.82,99,100,7.38
1,Busselton,AU,2022-04-03 01:12:26,-33.65,115.3333,71.02,84,92,12.91
2,Kailua,US,2022-04-03 01:12:27,21.4022,-157.7394,84.18,74,9,10.0
3,Chokurdakh,RU,2022-04-03 01:12:27,70.6333,147.9167,1.42,91,30,4.72
4,Kodiak,US,2022-04-03 01:12:27,57.79,-152.4072,40.51,75,40,4.61
5,Vaini,TO,2022-04-03 01:12:28,-21.2,-175.2,86.16,74,40,5.75
6,Jamestown,US,2022-04-03 01:12:28,42.097,-79.2353,39.52,62,0,6.91
7,Boa Vista,BR,2022-04-03 01:08:20,2.8197,-60.6733,85.98,54,75,9.22
8,Qaanaaq,GL,2022-04-03 01:12:29,77.484,-69.3632,8.56,75,25,7.14
9,Bluff,NZ,2022-04-03 01:12:29,-46.6,168.3333,58.19,71,92,18.23
10,Voh,NC,2022-04-03 01:12:29,-20.9667,164.7,85.82,73,83,5.46
11,Hithadhoo,MV,2022-04-03 01:12:30,-0.6,73.0833,83.19,70,8,6.78
12,Banjar,ID,2022-04-03 01:12:30,-8.19,114.9675,83.7,71,100,1.68
13,Taoudenni,ML,2022-04-03 01:12:30,22.6783,-3.9836,81.25,11,0,6.67
14,Podhum,BA,2022-04-03 01:12:31,43.7231,17.0011,33.98,92,100,1.25
15,Ushuaia,AR,2022-04-03 01:12:31,-54.8,-68.3,38.86,81,20,9.22
16,Rikitea,PF,2022-04-03 01:12:31,-23.1203,-134.9692,75.24,58,7,7.56
17,Fortuna,US,2022-04-03 01:12:32,40.5982,-124.1573,55.92,72,0,11.5
18,Urayasu,JP,2022-04-03 01:12:32,35.6706,139.8886,51.03,73,75,9.22
19,Lillooet,CA,2022-04-03 01:12:32,50.6856,-121.942,48.56,56,100,6.53
20,Cape Town,ZA,2022-04-03 01:10:37,-33.9258,18.4232,62.35,73,0,5.99
21,Villazon,BO,2022-04-03 01:12:33,-22.0866,-65.5942,52.09,43,3,1.74
22,Ketchikan,US,2022-04-03 01:10:46,55.3422,-131.6461,40.98,97,100,25.61
23,Bredasdorp,ZA,2022-04-03 01:12:33,-34.5322,20.0403,59.77,81,43,6.51
24,Kapaa,US,2022-04-03 01:11:32,22.0752,-159.319,80.58,79,75,20.71
25,Nelson Bay,AU,2022-04-03 01:12:34,-32.7167,152.15,73.0,63,100,13.69
26,Cururupu,BR,2022-04-03 01:12:34,-1.8283,-44.8683,74.62,97,31,2.53
27,Brigantine,US,2022-04-03 01:12:34,39.4101,-74.3646,45.05,72,0,6.91
28,Saurimo,AO,2022-04-03 01:12:35,-9.6608,20.3916,64.08,98,98,3.44
